"room";"start";"end";"weekday";"hour";"presence";"time";"censor"
"339";"4202";2015-06-15 16:31:21;2015-06-15 20:46:21;"Monday";16.5166666666667;0;4.25;1
"340";"4202";2015-06-16 05:01:21;2015-06-16 20:46:21;"Tuesday";5.01666666666667;0;15.75;1
"341";"4202";2015-06-17 05:01:21;2015-06-17 20:46:21;"Wednesday";5.01666666666667;0;15.75;1
"342";"4202";2015-06-18 05:01:21;2015-06-18 07:31:21;"Thursday";5.01666666666667;0;2.5;0
"344";"4202";2015-06-18 11:46:21;2015-06-18 15:46:21;"Thursday";11.7666666666667;0;4;0
"346";"4202";2015-06-18 17:01:21;2015-06-18 20:46:21;"Thursday";17.0166666666667;0;3.75;1
"347";"4202";2015-06-19 05:01:21;2015-06-19 20:46:21;"Friday";5.01666666666667;0;15.75;1
"350";"4202";2015-06-22 05:01:21;2015-06-22 20:46:21;"Monday";5.01666666666667;0;15.75;1
"351";"4202";2015-06-23 05:01:21;2015-06-23 20:46:21;"Tuesday";5.01666666666667;0;15.75;1
"352";"4202";2015-06-24 05:01:21;2015-06-24 20:46:21;"Wednesday";5.01666666666667;0;15.75;1
"353";"4202";2015-06-25 05:01:21;2015-06-25 07:31:21;"Thursday";5.01666666666667;0;2.5;0
"355";"4202";2015-06-25 08:16:21;2015-06-25 10:31:21;"Thursday";8.26666666666667;0;2.25;0
"357";"4202";2015-06-25 11:16:21;2015-06-25 16:01:21;"Thursday";11.2666666666667;0;4.75;0
"359";"4202";2015-06-25 18:31:21;2015-06-25 20:46:21;"Thursday";18.5166666666667;0;2.25;1
"360";"4202";2015-06-26 05:01:21;2015-06-26 09:46:21;"Friday";5.01666666666667;0;4.75;0
"362";"4202";2015-06-26 10:46:21;2015-06-26 20:46:21;"Friday";10.7666666666667;0;10;1
"365";"4202";2015-06-29 05:01:21;2015-06-29 08:16:21;"Monday";5.01666666666667;0;3.25;0
"367";"4202";2015-06-29 09:16:21;2015-06-29 09:31:21;"Monday";9.26666666666667;0;0.25;0
"369";"4202";2015-06-29 11:01:21;2015-06-29 11:16:21;"Monday";11.0166666666667;0;0.25;0
"371";"4202";2015-06-29 12:31:21;2015-06-29 12:46:21;"Monday";12.5166666666667;0;0.25;0
"373";"4202";2015-06-29 13:31:21;2015-06-29 14:16:21;"Monday";13.5166666666667;0;0.75;0
"375";"4202";2015-06-29 15:46:21;2015-06-29 20:46:21;"Monday";15.7666666666667;0;5;1
"376";"4202";2015-06-30 05:01:21;2015-06-30 08:31:21;"Tuesday";5.01666666666667;0;3.5;0
"378";"4202";2015-06-30 09:16:21;2015-06-30 10:31:21;"Tuesday";9.26666666666667;0;1.25;0
"380";"4202";2015-06-30 12:16:21;2015-06-30 13:01:21;"Tuesday";12.2666666666667;0;0.75;0
"382";"4202";2015-06-30 15:01:21;2015-06-30 20:46:21;"Tuesday";15.0166666666667;0;5.75;1
"383";"4202";2015-07-01 05:01:21;2015-07-01 20:46:21;"Wednesday";5.01666666666667;0;15.75;1
"384";"4202";2015-07-02 05:01:21;2015-07-02 08:31:21;"Thursday";5.01666666666667;0;3.5;0
"386";"4202";2015-07-02 09:01:21;2015-07-02 09:16:21;"Thursday";9.01666666666667;0;0.25;0
"388";"4202";2015-07-02 10:01:21;2015-07-02 10:31:21;"Thursday";10.0166666666667;0;0.5;0
"390";"4202";2015-07-02 13:01:21;2015-07-02 14:01:21;"Thursday";13.0166666666667;0;1;0
"392";"4202";2015-07-02 16:16:21;2015-07-02 20:46:21;"Thursday";16.2666666666667;0;4.5;1
"393";"4202";2015-07-03 05:01:21;2015-07-03 20:46:21;"Friday";5.01666666666667;0;15.75;1
"396";"4202";2015-07-06 05:01:21;2015-07-06 08:46:21;"Monday";5.01666666666667;0;3.75;0
"398";"4202";2015-07-06 10:01:21;2015-07-06 10:31:21;"Monday";10.0166666666667;0;0.5;0
"400";"4202";2015-07-06 13:01:21;2015-07-06 13:31:21;"Monday";13.0166666666667;0;0.5;0
"402";"4202";2015-07-06 16:31:21;2015-07-06 20:46:21;"Monday";16.5166666666667;0;4.25;1
"403";"4202";2015-07-07 05:01:21;2015-07-07 20:46:21;"Tuesday";5.01666666666667;0;15.75;1
"404";"4202";2015-07-08 05:01:21;2015-07-08 20:46:21;"Wednesday";5.01666666666667;0;15.75;1
"405";"4202";2015-07-09 05:01:21;2015-07-09 20:46:21;"Thursday";5.01666666666667;0;15.75;1
"406";"4202";2015-07-10 05:01:21;2015-07-10 20:46:21;"Friday";5.01666666666667;0;15.75;1
"409";"4202";2015-07-13 05:01:21;2015-07-13 09:16:21;"Monday";5.01666666666667;0;4.25;0
"411";"4202";2015-07-13 09:46:21;2015-07-13 12:16:21;"Monday";9.76666666666667;0;2.5;0
"413";"4202";2015-07-13 14:01:21;2015-07-13 20:46:21;"Monday";14.0166666666667;0;6.75;1
"414";"4202";2015-07-14 05:01:21;2015-07-14 20:46:21;"Tuesday";5.01666666666667;0;15.75;1
"415";"4202";2015-07-15 05:01:21;2015-07-15 09:16:21;"Wednesday";5.01666666666667;0;4.25;0
"417";"4202";2015-07-15 10:01:21;2015-07-15 10:46:21;"Wednesday";10.0166666666667;0;0.75;0
"419";"4202";2015-07-15 11:16:21;2015-07-15 11:31:21;"Wednesday";11.2666666666667;0;0.25;0
"421";"4202";2015-07-15 12:01:21;2015-07-15 13:01:21;"Wednesday";12.0166666666667;0;1;0
"423";"4202";2015-07-15 13:31:21;2015-07-15 20:46:21;"Wednesday";13.5166666666667;0;7.25;1
"424";"4202";2015-07-16 05:01:21;2015-07-16 07:16:21;"Thursday";5.01666666666667;0;2.25;0
"426";"4202";2015-07-16 07:46:21;2015-07-16 20:46:21;"Thursday";7.76666666666667;0;13;1
"427";"4202";2015-07-17 05:01:21;2015-07-17 20:46:21;"Friday";5.01666666666667;0;15.75;1
"430";"4202";2015-07-20 05:01:21;2015-07-20 14:31:21;"Monday";5.01666666666667;0;9.5;0
"432";"4202";2015-07-20 16:31:21;2015-07-20 20:46:21;"Monday";16.5166666666667;0;4.25;1
"433";"4202";2015-07-21 05:01:21;2015-07-21 08:31:21;"Tuesday";5.01666666666667;0;3.5;0
"435";"4202";2015-07-21 09:16:21;2015-07-21 12:16:21;"Tuesday";9.26666666666667;0;3;0
"437";"4202";2015-07-21 14:46:21;2015-07-21 15:31:21;"Tuesday";14.7666666666667;0;0.75;0
"439";"4202";2015-07-21 16:16:21;2015-07-21 20:46:21;"Tuesday";16.2666666666667;0;4.5;1
"440";"4202";2015-07-22 05:01:21;2015-07-22 20:46:21;"Wednesday";5.01666666666667;0;15.75;1
"441";"4202";2015-07-23 05:01:21;2015-07-23 07:46:21;"Thursday";5.01666666666667;0;2.75;0
"443";"4202";2015-07-23 08:31:21;2015-07-23 20:46:21;"Thursday";8.51666666666667;0;12.25;1
"444";"4202";2015-07-24 05:01:21;2015-07-24 20:46:21;"Friday";5.01666666666667;0;15.75;1
"447";"4202";2015-07-27 05:01:21;2015-07-27 12:01:21;"Monday";5.01666666666667;0;7;0
"449";"4202";2015-07-27 13:46:21;2015-07-27 14:46:21;"Monday";13.7666666666667;0;1;0
"451";"4202";2015-07-27 16:46:21;2015-07-27 20:46:21;"Monday";16.7666666666667;0;4;1
